movieId,title,genres,directedBy,starring
1635,Ice Storm|The (1997),Drama,Stanley Kubrick,Jack Nicholson|Shelley Duvall|Danny Lloyd|Scatman Crothers
1639,Chasing Amy (1997),Comedy|Drama|Romance,Rob Reiner,Corey Feldman|River Phoenix|Wil Wheaton|Jerry O'Connell|Kiefer Sutherland|Richard Dreyfuss
1641,Full Monty|The (1997),Comedy|Drama,Fritz Lang,Peter Lorre|Otto Wernicke|Inge Landgut|Ellen Widmann
1642,Indian Summer (a.k.a. Alive & Kicking) (1996),Comedy|Drama,Sam Raimi,Bruce Campbell|Sarah Berry|Dan Hicks|Kassie DePaiva|Ted Raimi
1643,Mrs. Brown (a.k.a. Her Majesty|Mrs. Brown) (1997),Drama|Romance,John Sturges,Richard Attenborough|Charles Bronson|James Donald|James Garner|Steve McQueen|Donald Pleasance|James Coburn
1644,I Know What You Did Last Summer (1997),Horror|Mystery|Thriller,Michael Cimino,John Cazale|Robert De Niro|John Savage|Christopher Walken
1645,The Devil's Advocate (1997),Drama|Mystery|Thriller,Jean-Jacques Beineix,Fr\u00e9d\u00e9ric Andr\u00e9i|Roland Bertin|Richard Bohringer|G\u00e9rard Darmon
1646,RocketMan (a.k.a. Rocket Man) (1997),Children|Comedy|Romance|Sci-Fi,Harold Ramis,Bill Murray|Andie MacDowell|Chris Elliott|Stephen Tobolowsky|Brian Doyle-Murray
1647,Playing God (1997),Crime|Drama|Thriller,Clint Eastwood,Clint Eastwood|Gene Hackman|Morgan Freeman|Richard Harris|Jaimz Woolvett|Saul Rubinek|Frances Fisher|Anna Levine
1648,House of Yes|The (1997),Comedy|Drama,John Frankenheimer,Laurence Harvey|Frank Sinatra|Angela Lansbury|Janet Leigh
1649,Fast|Cheap & Out of Control (1997),Documentary,Allan Moyle,Christian Slater|Samantha Mathis|Cheryl Pollak|Juliet Landau|Mimi Kennedy|Scott Paulin|Ellen Greene
1650,Washington Square (1997),Drama,Frank Capra,Jack Carson|Cary Grant|Raymond Massey|Priscilla Lane
1652,Year of the Horse (1997),Documentary,Robert Zemeckis,Michael J. Fox|Crispin Glover|Christopher Lloyd|Lea Thompson|Thomas F. Wilson|Claudia Wells|Marc McClure|Wendie Jo Sperber|Billy Zane
1653,Gattaca (1997),Drama|Sci-Fi|Thriller,Jon Avnet,Kathy Bates|Mary Stuart Masterson|Mary-Louise Parker|Jessica Tandy
1654,FairyTale: A True Story (1997),Children|Drama|Fantasy,Franklin J. Schaffner,George C. Scott|Karl Malden|Michael Strong|Stephen Young
1655,Phantoms (1998),Drama|Horror|Thriller,Jim Jarmusch,Tom Waits|John Lurie|Roberto Benigni|Nicoletta Braschi|Ellen Barkin
1656,Swept from the Sea (1997),Drama|Romance,Katsuhiro \u00d4tomo,Tessh\u00f4 Genda|Mitsuo Iwata|Nozomu Sasaki|Mami Koyama
1658,Life Less Ordinary|A (1997),Romance|Thriller,Russell Mulcahy,Clancy Brown|Sean Connery|Christopher Lambert|Roxanne Hart|Jon Polito|Beatie Edney
1659,Hurricane Streets (1997),Drama,Stuart Rosenberg,Paul Newman|George Kennedy|J.D. Cannon|Lou Antonio
1660,Eve's Bayou (1997),Drama,Jean-Paul Rappeneau,G\u00e9rard Depardieu|Vincent Perez|Jacques Weber|Anne Brochet
1661,Switchback (1997),Crime|Mystery|Thriller,Mel Brooks,Peter Boyle|Marty Feldman|Gene Wilder|Madeline Kahn|Cloris Leachman|Teri Garr
1662,Gang Related (1997),Crime,Jim Jarmusch,Gena Rowlands|Winona Ryder|Armin Mueller-Stahl|Giancarlo Esposito|Rosie Perez|Isaach De Bankol\u00e9|B\u00e9atrice Dalle|Roberto Benigni|Matti Pellonp\u00e4\u00e4
1663,Stripes (1981),Comedy|War,Yimou Zhang,Li Gong|Caifei He|Jingwu Ma|Cuifeng Cao|Lin Kong
1665,Bean (1997),Comedy,Charles Chaplin,Charles Chaplin|Henry Daniell|Reginald Gardiner|Jack Oakie
1667,Mad City (1997),Action|Drama,James Algar|Samuel Armstrong|Ford Beebe|Norman Ferguson|Jim Handley|T. Hee|Wilfred Jackson|Hamilton Luske|Bill Roberts|Paul Satterfield|Ben Sharpsteen,Leopold Stokowski|Deems Taylor|Corey Burton|Walt Disney
1670,Welcome to Sarajevo (1997),Drama|War,Fred Zinnemann,Gary Cooper|Thomas Mitchell|Lloyd Bridges|Katy Jurado|Grace Kelly|Otto Kruger|Lon Chaney Jr.|Harry Morgan|Lee Van Cleef|Robert J. Wilke|Sheb Wooley|Jack Elam
1671,Deceiver (1997),Crime|Drama|Thriller,Howard Hawks,Humphrey Bogart|Lauren Bacall|John Ridgely|Martha Vickers|Dorothy Malone|Peggy Knudsen|Regis Toomey|Charles Waldron|Charles D. Brown|Robert Steele|Elisha Cook Jr.|Louis Gene Heydt|Sonia Darrin|Tom Raferty|Theodore von Eltz|Joy Barlowe
1672,Rainmaker|The (1997),Drama,Michael Lehmann,Winona Ryder|Christian Slater|Shannen Doherty|Lisanne Falk|Kim Walker
1673,Boogie Nights (1997),Drama,Jeannot Szwarc,Christopher Plummer|Christopher Reeve|Jane Seymour|Teresa Wright
1674,Witness (1985),Drama|Romance|Thriller,William Wyler,Stephen Boyd|Jack Hawkins|Charlton Heston|Haya Harareet|Hugh Griffith
1675,Incognito (1997),Crime|Thriller,Rob Reiner,Michael McKean|Christopher Guest|Harry Shearer|Rob Reiner|Fran Drescher|Bruno Kirby|Billy Crystal|Paul Shaffer|Anjelica Huston
1676,Starship Troopers (1997),Action|Sci-Fi,Godfrey Reggio,
1677,Critical Care (1997),Comedy|Drama,Howard Deutch,Eric Stoltz|Mary Stuart Masterson|Lea Thompson|Craig Sheffer|John Ashton
1678,Joy Luck Club|The (1993),Drama|Romance,Steven Spielberg,Harrison Ford|Sean Connery|John Rhys-Davies|River Phoenix|Denholm Elliott|Alison Doody|Julian Glover|Michael Byrne
1679,Chairman of the Board (1998),Comedy,Hal Ashby,Peter Sellers|Shirley MacLaine|Melvyn Douglas|Jack Warden
1680,Sliding Doors (1998),Drama|Romance,Richard Attenborough,Edward Fox|John Gielgud|Ben Kingsley|Candice Bergen|Trevor Howard|Saeed Jaffrey|Ian Charleson|Geraldine James|Martin Sheen|Athol Fugard|Amrish Puri|Roshan Seth|John Mills|Gunter Maria Halmer|Alyque Padamsee
1681,Mortal Kombat: Annihilation (1997),Action|Adventure|Fantasy,Philip Kaufman,Daniel Day-Lewis|Derek de Lint|Juliette Binoche|Lena Olin
1682,Truman Show|The (1998),Comedy|Drama|Sci-Fi,James Ivory,Helena Bonham Carter|Denholm Elliott|Julian Sands|Simon Callow|Daniel Day-Lewis|Maggie Smith
1683,Wings of the Dove|The (1997),Drama|Romance,Martha Coolidge,William Atherton|Gabriel Jarret|Val Kilmer|Michelle Meyrink|Jon Gries|Patti D'Arbanville
1684,Mrs. Dalloway (1997),Drama|Romance,Alan Parker,Bob Geldof|Christine Hargreaves|James Laurenson|Eleanor David|Kevin McKeon|Bob Hoskins|Jenny Wright
1685,I Love You|I Love You Not (1996),Drama|Romance,Roland Joff\u00e9,John Malkovich|Haing S. Ngor|Julian Sands|Sam Waterston
1686,Red Corner (1997),Crime|Thriller,Lasse Hallstr\u00f6m,Anton Glanzelius|Tomas von Br\u00f6mssen|Anki Lid\u00e9n|Melinda Kinnaman
1687,Jackal|The (1997),Action|Thriller,Fred M. Wilcox,Leslie Nielsen|Walter Pidgeon|Robby the Robot|Warren Stevens|Anne Francis
1688,Anastasia (1997),Adventure|Animation|Children|Drama|Musical,Phil Alden Robinson,Kevin Costner|Ray Liotta|Gaby Hoffmann|Amy Madigan|James Earl Jones
1689,Man Who Knew Too Little|The (1997),Comedy|Crime|Thriller,John Huston,Michael Caine|Sean Connery|Saeed Jaffrey|Christopher Plummer
1690,Alien: Resurrection (1997),Action|Horror|Sci-Fi,George Roy Hill,Paul Newman|Robert Redford|Katharine Ross|Strother Martin|Henry Jones
1693,Amistad (1997),Drama|Mystery,Wim Wenders,Harry Dean Stanton|Nastassja Kinski|Dean Stockwell
1694,Apostle|The (1997),Drama,Wim Wenders,William Hurt|Solveig Dommartin|Sam Neill|Max von Sydow
1695,Artemisia (1997),Drama,Rob Reiner,Billy Crystal|Meg Ryan|Carrie Fisher|Bruno Kirby
1696,Bent (1997),Drama|War,Keoni Waxman,Brian Drillinger|John Stockwell|Janeane Garofalo|Noelle Lippman
1699,Butcher Boy|The (1997),Comedy|Drama,John G. Young,Gabriel Mann|Laurence Mason|Murphy Guyer|Graham Alex Johnson|Heather Gottlieb
1701,Deconstructing Harry (1997),Comedy|Drama,Doug Pray,Art Chantry|Van Conner|Jack Endino|Martin Rushent|Eddie Vedder|Matt Wright
1702,Flubber (1997),Children|Comedy|Fantasy,John Murlowski,Hulk Hogan|Garrett Morris|Don Stark|Robin Curtis
1703,For Richer or Poorer (1997),Comedy,Susan Streitfeld,Tilda Swinton|Amy Madigan|Karen Sillas|Frances Fisher|Clancy Brown|Laila Robins|John Diehl|Paulina Porizkova|Sandy Martin|Marcia Cross|Shawnee Smith
1704,Good Will Hunting (1997),Drama|Romance,Larry Bishop,Ellen Barkin|Gabriel Byrne|Richard Dreyfuss|Jeff Goldblum|Diane Lane|Burt Reynolds|Larry Bishop|Joey Bishop|Kyle MacLachlan|Angie Everhart|Henry Silva|Michael J. Pollard|Gregory Hines|Billy Idol|Billy Drago|Juan Fern\u00e1ndez|Paul Anka|Richard Pryor|Rob Reiner|R\u00e9al Andrews
1707,Home Alone 3 (1997),Children|Comedy,Jon Sherman,Dan Futterman|Joanna Chang|Susan Floyd|Gu Jianzhung
1711,Midnight in the Garden of Good and Evil (1997),Crime|Drama|Mystery,Greta Schiller,Maureen All|Gillian Hanna|Margaret Robertson|Juliet Stevenson
1713,Mouse Hunt (1997),Children|Comedy,Manie Van Rensburg,
1717,Scream 2 (1997),Comedy|Horror|Mystery|Thriller,Herb Gardner,Walter Matthau|Ossie Davis|Amy Irving|Craig T. Nelson|Martha Plimpton|Guillermo D\u00edaz|Ron Rifkin|Marin Hinkle|Michael Angarano|Josh Pais|Bobby Cannavale|Peter Friedman|Edoardo Ballerini
1718,Stranger in the House (1997),Thriller,Carl Prechezer,Steven Mackintosh|Ewan McGregor|Sean Pertwee|Catherine Zeta-Jones
1719,Sweet Hereafter|The (1997),Drama,Daniel Geller|Dayna Goldfine,Tim Rollins
1721,Titanic (1997),Drama|Romance,David Fincher,Sigourney Weaver|Charles Dance|Charles Dutton|Paul McGann|Lance Henriksen|Brian Glover
1722,Tomorrow Never Dies (1997),Action|Adventure|Thriller,John Landis,Griffin Dunne|David Naughton|Jenny Agutter
1726,Postman|The (1997),Action|Adventure|Drama|Sci-Fi,Tony Randel,Stephen Macht|Damon Martin|Megan Ward|Shawn Weatherly
1727,Horse Whisperer|The (1998),Drama|Romance,Richard Fleischer,Robert Joy|Tony Roberts|Candy Clark|Tess Harper
1729,Jackie Brown (1997),Crime|Drama|Thriller,Steve White,Robin Thomas|Starr Andreeff|Allen Cutler|Rachel Duncan|Jarrett Lennon
1730,Kundun (1997),Drama,John Murlowski,David Naughton|Ross Partridge|Julia Nickson-Soul|Lala Sloatman
1731,Mr. Magoo (1997),Comedy,Damiano Damiani,Jack Magner|James Olson|Burt Young|Rutanya Alda
1732,Big Lebowski|The (1998),Comedy|Crime,Stuart Rosenberg,James Brolin|Rod Steiger|Don Stroud|Margot Kidder
1733,Afterglow (1997),Drama|Romance,Tom Berry,Kim Coates|David Stein|Helen Hughes|Dawna Wightman
1734,My Life in Pink (Ma vie en rose) (1997),Comedy|Drama,Paul Morrissey|Antonio Margheriti,Joe Dallesandro|Udo Kier|Arno Juerging|Maxime McKendry|Milena Vukotic
1735,Great Expectations (1998),Drama|Romance,Fred Walton,Jay Baker|Pat Barlow|Lloyd Berry|Deborah Foreman|Deborah Goodrich
1739,3 Ninjas: High Noon On Mega Mountain (1998),Action|Children|Comedy,Robert Wise,John Beck|Anthony Hopkins|Marsha Mason|Susan Swift
1746,Senseless (1998),Comedy,John Schlesinger,Martin Sheen|Harley Cross|Robert Loggia|Helen Shaver|Jimmy Smits
1747,Wag the Dog (1997),Comedy,Alfred Hitchcock,Rod Taylor|Tippi Hedren|Suzanne Pleshette|Jessica Tandy
1748,Dark City (1998),Adventure|Film-Noir|Sci-Fi|Thriller,Irvin S. Yeaworth Jr.,Olin Howlin|Steve McQueen|Earl Rowe|Aneta Corsaut
1752,Hard Rain (1998),Action|Crime|Thriller,Jeffrey Bloom,David Huffman|Burt Young|Otis Young|Marianna Hill
1753,Half Baked (1998),Comedy,Eric Red,Jeff Fahey|Paul Ben-Victor|Kim Delaney|Nathaniel Moreau
1754,Fallen (1998),Crime|Drama|Fantasy|Thriller,Robert Wise,Henry Daniell|Boris Karloff|Bela Lugosi|Edith Atwater
1755,Shooting Fish (1997),Comedy|Romance,Francis Ford Coppola,Gary Oldman|Winona Ryder|Anthony Hopkins|Keanu Reeves|Cary Elwes|Richard E. Grant|Sadie Frost
1757,Fallen Angels (Duo luo tian shi) (1995),Drama|Romance,James Whale,Colin Clive|Boris Karloff|Ernest Thesiger|Valerie Hobson|Elsa Lanchester|Una O Connor
1759,Four Days in September (O Que ?� Isso|Companheiro?) (1997),Drama,Dan Curtis,Burgess Meredith|Oliver Reed|Karen Black|Eileen Heckart
1760,Spice World (1997),Comedy,Bernard Rose,Xander Berkeley|Tony Todd|Kasi Lemmons|Virginia Madsen
1762,Deep Rising (1998),Action|Horror|Sci-Fi,Martin Scorsese,Robert De Niro|Nick Nolte|Jessica Lange|Juliette Lewis
1767,Music From Another Room (1998),Drama|Romance,J. Lee Thompson,Robert Mitchum|Gregory Peck|Polly Bergen|Lori Martin
1769,Replacement Killers|The (1998),Action|Crime|Thriller,Brian De Palma,William Katt|Amy Irving|Piper Laurie|Sissy Spacek|John Travolta
1770,B. Monkey (1998),Crime|Romance|Thriller,Paul Schrader,Nastassja Kinski|Malcolm McDowell|John Heard|Annette O'Toole|Ruby Dee|Ed Begley Jr.|Scott Paulin|Frankie Faison|John Larroquette|Ray Wise
1771,Night Flier (1997),Horror,Wes Craven,Heather Langenkamp|Johnny Depp|Robert Englund|Ronee Blakley|John Saxon
1772,Blues Brothers 2000 (1998),Action|Comedy|Musical,F.W. Murnau,Max Schreck|Gustav von Wangenheim|Greta Schr\u00f6der|Alexander Granach|
1777,Wedding Singer|The (1998),Comedy|Romance,Augusto Caminito|Mario Caiano|Luigi Cozzi|Klaus Kinski|Maurizio Lucidi,Klaus Kinski|Donald Pleasence|Christopher Plummer|Barbara De Rossi
1779,Sphere (1998),Sci-Fi|Thriller,Richard Donner,Gregory Peck|David Warner|Lee Remick|Billie Whitelaw|Harvey Stephens
1783,Palmetto (1998),Crime|Drama|Mystery|Romance|Thriller,Bob Rafelson,Jack Nicholson|Stephen Dorff|Jennifer Lopez|Judy Davis|Michael Caine
1784,As Good as It Gets (1997),Comedy|Drama|Romance,Kevin Spacey,Matt Dillon|William Fichtner|Gary Sinise|Faye Dunaway
1785,King of New York (1990),Crime|Thriller,Barbra Streisand,Jeff Bridges|George Segal|Lauren Bacall|Barbra Streisand
1791,Twilight (1998),Crime|Drama|Thriller,Lars von Trier,Jean-Marc Barr|Stellan Skarsg\u00e5rd|Katrin Cartlidge|Emily Watson
1792,U.S. Marshals (1998),Action|Crime|Thriller,Ole Bornedal,Ewan McGregor|Nick Nolte|Patricia Arquette|Josh Brolin|Lauren Graham|Brad Dourif
1793,Welcome to Woop-Woop (1997),Comedy,Jonathan Frakes,Patrick Stewart|Jonathan Frakes|Brent Spiner|LeVar Burton|Michael Dorn|Gates McFadden|Marina Sirtis|Alfre Woodard|James Cromwell|Alice Krige|Robert Picardo|Dwight Schultz
1794,Love and Death on Long Island (1997),Comedy|Drama,Scott Hicks,Geoffrey Rush|Armin Mueller-Stahl|Justin Braine|Chris Haywood|Sonia Todd
1797,Everest (1998),Documentary|IMAX,Billy Bob Thornton,John Ritter|Billy Bob Thornton|J.T. Walsh|Dwight Yoakam|Robert Duvall
1798,Hush (1998),Thriller,Brian Levant,Phil Hartman|Arnold Schwarzenegger|Sinbad |Rita Wilson|James Belushi
1799,Suicide Kings (1997),Comedy|Crime|Drama|Mystery|Thriller,Michelangelo Antonioni,Tomas Milian|Daniela Silverio|Christine Boisson|Lara Wendel|Veronica Lazar
1801,Man in the Iron Mask|The (1998),Action|Adventure|Drama,Joe Berlinger,Jason Baldwin|Joe Berlinger|Jessie Miskelly|Bruce Sinofsky
1804,Newton Boys|The (1998),Crime|Drama,Penny Marshall,Gregory Hines|Courtney B. Vance|Denzel Washington|Whitney Houston
1805,Wild Things (1998),Crime|Drama|Mystery|Thriller,Hans Petter Moland,Stellan Skarsg\u00e5rd|Gard B. Eidsvold|Bj\u00f8rn Sundquist|Camilla Martens|Paul-Ottar Haga|
1806,Paulie (1998),Adventure|Children|Comedy,Patrice Leconte,Charles Berling|Jean Rochefort|Fanny Ardant|Judith Godr\u00e8che
1807,Cool|Dry Place|A (1998),Drama,Nicholas Hytner,Daniel Day-Lewis|Paul Scofield|Joan Allen|Winona Ryder
1809,Fireworks (Hana-bi) (1997),Crime|Drama,Stephen Herek,Jeff Daniels|Glenn Close|Joan Plowright|Joely Richardson|Hugh Laurie|Mark Williams
1810,Primary Colors (1998),Comedy|Drama,Curzio Malaparte,Raf Vallone|Rina Morelli|Alain Cuny|Anna-Maria Ferrero|Elena Varzi|Gino Cervi
1812,Wide Awake (1998),Children|Comedy|Drama,Claire Denis,Yekaterina Golubeva|Richard Courcet|Vincent Dupont|Laurent Gr\u00e9vill
1816,Two Girls and a Guy (1997),Comedy|Drama,Renny Harlin,William Atherton|Reginald VelJohnson|Bruce Willis|Bonnie Bedelia|John Amos|Dennis Franz
1821,Object of My Affection|The (1998),Comedy|Romance,Robert Wise,James Doohan|DeForest Kelley|Leonard Nimoy|William Shatner
1824,Homegrown (1998),Comedy|Thriller,Nicholas Meyer,James Doohan|DeForest Kelley|Leonard Nimoy|William Shatner|Walter Koenig|George Takei|Nichelle Nichols|Kim Cattrall|Mark Lenard|Grace Lee Whitney|Brock Peters|Christopher Plummer
1825,The Players Club (1998),Comedy|Drama,William Shatner,William Shatner|Leonard Nimoy|DeForest Kelley|James Doohan|Walter Koenig|Nichelle Nichols|George Takei
1826,Barney's Great Adventure (1998),Adventure|Children,Nicholas Meyer,William Shatner|Leonard Nimoy|DeForest Kelley|James Doohan|Walter Koenig|George Takei|Nichelle Nichols|Kirstie Alley|Ricardo Montalban|Paul Winfield|Bibi Besch
1827,Big One|The (1997),Comedy|Documentary,Leonard Nimoy,William Shatner|Leonard Nimoy|DeForest Kelley|James Doohan|Walter Koenig|George Takei|Nichelle Nichols|Robin Curtis|Phil Morris|Christopher Lloyd|John Larroquette|Branscombe Richmond|James Sikking|Miguel Ferrer|Judith Anderson
1829,Chinese Box (1997),Drama|Romance,Leonard Nimoy,William Shatner|Leonard Nimoy|DeForest Kelley|James Doohan|George Takei|Walter Koenig|Nichelle Nichols|Jane Wyatt|Mark Lenard|Robin Curtis|Brock Peters|Catherine Hicks
1831,Lost in Space (1998),Action|Adventure|Sci-Fi,Tim Burton,Danny DeVito|Michael Keaton|Christopher Walken|Michelle Pfeiffer
1833,Mercury Rising (1998),Action|Drama|Thriller,Christopher Cain,Emilio Estevez|Lou Diamond Phillips|Charlie Sheen|Kiefer Sutherland|Dermot Mulroney|Casey Siemaszko|Terence Stamp|Jack Palance|Terry O'Quinn
1834,Spanish Prisoner|The (1997),Crime|Drama|Mystery|Thriller,Geoff Murphy,Emilio Estevez|Lou Diamond Phillips|Christian Slater|Kiefer Sutherland|William L. Petersen|James Coburn|Balthazar Getty|R.D. Call|Viggo Mortensen
1835,City of Angels (1998),Drama|Fantasy|Romance,Randal Kleiser,John Travolta|Olivia Newton-John|Jeff Conaway|Stockard Channing|Didi Conn|Eve Arden|Frankie Avalon|Joan Blondell|Sid Caesar|Alice Ghostley|Dinah Manoff|Michael Tucci|Lorenzo Lamas
1836,Last Days of Disco|The (1998),Comedy|Drama,Patricia Birch,Maxwell Caulfield|Lorna Luft|Michelle Pfeiffer|Maureen Teefy
1837,Odd Couple II|The (1998),Comedy,Dwight H. Little,Steven Seagal|Basil Wallace|Keith David|Tom Wright|Joanna Pacula|Danielle Harris|Danny Trejo|Teri Weigel
1839,My Giant (1998),Comedy,Albert Pyun,Christopher Lambert|Norbert Weisser|Elizabeth Barondes|Natasha Henstridge
1840,He Got Game (1998),Drama,Daniel J. Sullivan,Tony Goldwyn|Timothy Hutton|Tom McDermott|George Morfogen|Ron Rifkin
1841,Gingerbread Man|The (1998),Drama|Thriller,Andrew Davis,Damian Chapa|Troy Evans|David McKnight|Steven Seagal|Tommy Lee Jones|Gary Busey|Erika Eleniak|Colm Meaney
1844,Live Flesh (Carne tr??mula) (1997),Drama|Romance,Joseph H. Lewis,Sebastian Cabot|Sterling Hayden|Gene Martin|Carol Kelly
1845,Zero Effect (1998),Comedy|Mystery|Thriller,Steven Spielberg,Richard Dreyfuss|Roy Scheider|Robert Shaw|Lorraine Gary
1848,Borrowers|The (1997),Adventure|Children|Comedy|Fantasy,Jeannot Szwarc,Murray Hamilton|Joseph Mascolo|Roy Scheider|Lorraine Gary
1855,Krippendorf's Tribe (1998),Comedy,Joe Alves,Louis Gossett Jr.|Simon MacCorkindale|Dennis Quaid|Bess Armstrong
1856,Kurt & Courtney (1998),Documentary,Peter Segal,Dan Aykroyd|James Garner|John Heard|Jack Lemmon
1857,Real Blonde|The (1997),Comedy,Tim Burton,Jack Nicholson|Glenn Close|Annette Bening|Pierce Brosnan|Danny DeVito|Sarah Jessica Parker|Michael J. Fox|Tom Jones|Jim Brown|Lukas Haas|Natalie Portman|Pam Grier|Jack Black|Ray J|Paul Winfield|Brandon Hammond|Jerzy Skolimowski|Rance Howard|Christina Applegate|Barbet Schroeder
1858,Mr. Nice Guy (Yat goh ho yan) (1997),Action|Comedy,Alexander Payne,Laura Dern|Swoosie Kurtz|Kurtwood Smith|Mary Kay Place|Kelly Preston|M.C. Gainey|Kenneth Mars|David Graf|Kathleen Noone|Tippi Hedren|Burt Reynolds
1859,Taste of Cherry (Ta'm e guilass) (1997),Drama,Cameron Crowe,Tom Cruise|Cuba Gooding Jr.|Kelly Preston|Ren\u00e9e Zellweger
1860,Character (Karakter) (1997),Drama,Joel Coen|Ethan Coen,Nicolas Cage|John Goodman|Trey Wilson|Holly Hunter
1862,Species II (1998),Horror|Sci-Fi,Barry Levinson,Danny DeVito|Richard Dreyfuss|John Mahoney|Barbara Hershey
1863,Major League: Back to the Minors (1998),Comedy,Phil Alden Robinson,Sidney Poitier|Robert Redford|David Strathairn|Dan Aykroyd|River Phoenix|Mary McDonnell|Timothy Busfield|Donal Logue|Lee Garlington|Ben Kingsley|Stephen Tobolowsky|James Earl Jones
1866,Big Hit|The (1998),Action|Comedy|Crime,Anjelica Huston,Ron Eldard|Lyle Lovett|Glenne Headly|Jennifer Jason Leigh
1867,Tarzan and the Lost City (1998),Action|Adventure,Richard Attenborough,Mackenzie Astin|Alan Bennett|Chris O'Donnell|Sandra Bullock|Margot Steinberg
1870,Dancer|Texas Pop. 81 (1998),Comedy|Drama,Jerry Zaks,Robert De Niro|Leonardo DiCaprio|Diane Keaton|Meryl Streep|Hume Cronyn|Dan Hedaya
1873,Mis??rables|Les (1998),Crime|Drama|Romance|War,Martin Donovan,Gabriel Byrne|Nastassja Kinski|Johnny Whitworth|Brian Donovan|Tyler Cole Malinger
1875,Clockwatchers (1997),Comedy,Rob Reiner,Alec Baldwin|James Woods|Whoopi Goldberg|Virginia Madsen
1876,Deep Impact (1998),Drama|Sci-Fi|Thriller,Sidney Lumet,Andy Garcia|Ian Holm|James Gandolfini|Lena Olin|Shiek Mahmud-Bey|Colm Feore|Ron Leibman|Richard Dreyfuss|Dominic Chianese|Paul Guilfoyle|Vincent Pastore|Frank Vincent|Bobby Cannavale
1881,Quest for Camelot (1998),Adventure|Animation|Children|Fantasy|Musical,Mike Judge,Mike Judge|Robert Stack|Jacqueline Barba|Cloris Leachman|Eric Bogosian
1882,Godzilla (1998),Action|Sci-Fi|Thriller,Claude Chabrol,Jean-Pierre Cassel|Jacqueline Bisset|Sandrine Bonnaire|Isabelle Huppert|Virginie Ledoyen|Jean-Fran\u00e7ois Perrier
1883,Bulworth (1998),Comedy|Drama|Romance,Wes Craven,David Arquette|Skeet Ulrich|Neve Campbell|Courteney Cox|Rose McGowan|Drew Barrymore|Matthew Lillard|Jamie Kennedy|Liev Schreiber
1884,Fear and Loathing in Las Vegas (1998),Adventure|Comedy|Drama,Michael Mann,Daniel Day-Lewis|Russell Means|Madeleine Stowe|Steven Waddington|Eric Schweig|Wes Studi|Terry Kinney|Pete Postlethwaite
1885,Opposite of Sex|The (1998),Comedy|Drama|Romance,Nora Ephron,Bob Hoskins|William Hurt|John Travolta|Andie MacDowell
1887,Almost Heroes (1998),Adventure|Comedy|Western,Robert Harling,Bill Paxton|Juliette Lewis|Shirley MacLaine|Miranda Richardson
1888,Hope Floats (1998),Comedy|Drama|Romance,Kenneth Branagh,Kenneth Branagh|Kate Winslet|Julie Christie|Timothy Spall|Brian Blessed
1889,Insomnia (1997),Drama|Mystery|Thriller,Terry George,Helen Mirren|Fionnula Flanagan|Aidan Gillen|David O'Hara|John Lynch|Tom Hollander|Ciar\u00e1n Hinds|Geraldine O'Rawe|Gerard McSorley|Bosco Hogan|Sean Lawlor
1891,Ugly|The (1997),Horror|Thriller,Dan Ireland,Vincent D'Onofrio|Harve Presnell|Ann Wedgeworth|Ren\u00e9e Zellweger
1892,Perfect Murder|A (1998),Thriller,Albert Brooks,Albert Brooks|Debbie Reynolds|Rob Morrow|Lisa Kudrow|John C. McGinley|Isabel Glasser
1893,Beyond Silence (Jenseits der Stille) (1996),Drama,Andr\u00e9 T\u00e9chin\u00e9,Catherine Deneuve|Daniel Auteuil|Laurence C\u00f4te|Didier Bezace
1894,Six Days Seven Nights (1998),Adventure|Comedy|Romance,Alan Parker,Madonna|Antonio Banderas|Jimmy Nail|Jonathan Pryce|Victoria Sus
1895,Can't Hardly Wait (1998),Comedy|Drama|Romance,Jane Campion,John Malkovich|Barbara Hershey|Nicole Kidman|Mary-Louise Parker|Shelley Winters
1897,High Art (1998),Drama|Romance,Nicolas Roeg,David Gulpilil|John Meillon|Luc Roeg|Jenny Agutter
1900,Children of Heaven|The (Bacheha-Ye Aseman) (1997),Comedy|Drama,Murray Lerner,Billy Cox|Carl Palmer|Donovan|Free|Greg Lake|Jethro Tull|Jimi Hendrix|Joan Baez|John Bonham|John Sebastian|Joni Mitchell|Keith Emerson|Kris Kristofferson|Leonard Cohen|Miles Davis|Mitch Mitchell|Ricki Farr|Taste|Ten Years After|The Doors|The Moody Blues|The Who|Tiny Tim
1902,Dream for an Insomniac (1996),Drama|Romance,Paul McCartney,
1904,Henry Fool (1997),Comedy|Drama,Dwight H. Little,Daniel Benzali|Dennis Miller|Wesley Snipes|Diane Lane|Alan Alda|Ronny Cox
1906,Mr. Jealousy (1997),Comedy|Romance,Ralph Ziman,Danny Keogh|Septula Sebogodi|Patrick Shai
1907,Mulan (1998),Adventure|Animation|Children|Comedy|Drama|Musical|Romance,Arthur Penn,Louis Gossett Jr.|Nigel Hawthorne|Ian Roberts|Eric Stoltz
1909,X-Files: Fight the Future|The (1998),Action|Crime|Mystery|Sci-Fi|Thriller,Fred Schepisi|Robert Young,John Cleese|Kevin Kline|Robert Lindsay|Michael Palin|Jamie Lee Curtis
1910,I Went Down (1997),Comedy|Crime|Drama,George Miller,Steve Guttenberg|Arnold Vosloo|Dawn McMillan|Kathleen Quinlan
